duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:10:34.721122,"ARP,",Ethernet,6,len,4,10.0.0.57,"10.0.0.1,",28,0
23:10:34.721682,"ARP,",Ethernet,6,len,4,10.0.0.57,1a:38:6b:2d:5e:0e,28,1
23:10:35.041345,"ARP,",Ethernet,6,len,4,10.0.0.55,"10.0.0.1,",28,0
23:10:35.043635,"ARP,",Ethernet,6,len,4,10.0.0.55,46:85:bb:f8:18:51,28,1
23:10:36.545076,"ARP,",Ethernet,6,len,4,10.0.0.62,"10.0.0.1,",28,0
23:10:36.545634,"ARP,",Ethernet,6,len,4,10.0.0.62,52:0a:09:99:28:15,28,1
23:12:38.137864,"ARP,",Ethernet,6,len,4,10.0.0.64,"10.0.0.2,",28,0
23:12:38.137887,"ARP,",Ethernet,6,len,4,10.0.0.64,9e:d4:ba:9f:4a:3c,28,1
23:19:46.378511,"ARP,",Ethernet,6,len,4,10.0.0.13,"10.0.0.1,",28,0
23:19:46.380462,"ARP,",Ethernet,6,len,4,10.0.0.13,d6:45:9b:e2:96:63,28,1
23:19:46.546175,"ARP,",Ethernet,6,len,4,10.0.0.46,"10.0.0.1,",28,0
23:19:46.547950,"ARP,",Ethernet,6,len,4,10.0.0.46,82:99:80:4f:d9:a3,28,1
23:19:46.717928,"ARP,",Ethernet,6,len,4,10.0.0.11,"10.0.0.1,",28,0
23:19:46.719709,"ARP,",Ethernet,6,len,4,10.0.0.11,3a:24:10:12:0e:85,28,1
23:19:46.889441,"ARP,",Ethernet,6,len,4,10.0.0.51,"10.0.0.1,",28,0
23:19:46.891118,"ARP,",Ethernet,6,len,4,10.0.0.51,2a:50:c8:36:e6:54,28,1
23:19:47.073689,"ARP,",Ethernet,6,len,4,10.0.0.6,"10.0.0.1,",28,0
23:19:47.074087,"ARP,",Ethernet,6,len,4,10.0.0.6,2a:9f:af:f5:3b:d2,28,1
23:19:47.237217,"ARP,",Ethernet,6,len,4,10.0.0.34,"10.0.0.1,",28,0
23:19:47.238630,"ARP,",Ethernet,6,len,4,10.0.0.34,86:e8:78:e3:19:77,28,1
23:19:47.409712,"ARP,",Ethernet,6,len,4,10.0.0.56,"10.0.0.1,",28,0
23:19:47.411560,"ARP,",Ethernet,6,len,4,10.0.0.56,4e:16:f4:5d:af:0e,28,1
23:19:47.581301,"ARP,",Ethernet,6,len,4,10.0.0.23,"10.0.0.1,",28,0
23:19:47.583066,"ARP,",Ethernet,6,len,4,10.0.0.23,4a:02:66:0b:01:11,28,1
23:19:47.762660,"ARP,",Ethernet,6,len,4,10.0.0.15,"10.0.0.1,",28,0
23:19:47.764451,"ARP,",Ethernet,6,len,4,10.0.0.15,fa:9f:a8:d2:37:91,28,1
23:19:47.929565,"ARP,",Ethernet,6,len,4,10.0.0.50,"10.0.0.1,",28,0
23:19:47.931636,"ARP,",Ethernet,6,len,4,10.0.0.50,d6:62:5d:45:97:74,28,1
23:19:48.109827,"ARP,",Ethernet,6,len,4,10.0.0.29,"10.0.0.1,",28,0
23:19:48.111798,"ARP,",Ethernet,6,len,4,10.0.0.29,06:aa:d0:a8:00:34,28,1
23:19:48.277442,"ARP,",Ethernet,6,len,4,10.0.0.60,"10.0.0.1,",28,0
23:19:48.278038,"ARP,",Ethernet,6,len,4,10.0.0.60,ae:f0:36:a9:1c:d1,28,1
23:19:48.449671,"ARP,",Ethernet,6,len,4,10.0.0.38,"10.0.0.1,",28,0
23:19:48.451046,"ARP,",Ethernet,6,len,4,10.0.0.38,da:a3:71:ae:d9:44,28,1
23:19:48.625065,"ARP,",Ethernet,6,len,4,10.0.0.37,"10.0.0.1,",28,0
23:19:48.626209,"ARP,",Ethernet,6,len,4,10.0.0.37,ea:ea:0e:1b:71:d7,28,1
23:19:48.793226,"ARP,",Ethernet,6,len,4,10.0.0.31,"10.0.0.1,",28,0
23:19:48.795156,"ARP,",Ethernet,6,len,4,10.0.0.31,36:f5:f1:53:f2:9a,28,1
23:19:48.982155,"ARP,",Ethernet,6,len,4,10.0.0.16,"10.0.0.1,",28,0
23:19:48.984164,"ARP,",Ethernet,6,len,4,10.0.0.16,46:87:6e:36:e7:56,28,1
23:19:49.165626,"ARP,",Ethernet,6,len,4,10.0.0.14,"10.0.0.1,",28,0
23:19:49.167527,"ARP,",Ethernet,6,len,4,10.0.0.14,ee:b8:59:d7:7e:dc,28,1
23:19:49.465855,"ARP,",Ethernet,6,len,4,10.0.0.36,"10.0.0.1,",28,0
23:19:49.467187,"ARP,",Ethernet,6,len,4,10.0.0.36,5a:d7:c7:df:cb:a9,28,1
23:19:49.776191,"ARP,",Ethernet,6,len,4,10.0.0.4,"10.0.0.1,",28,0
23:19:49.777071,"ARP,",Ethernet,6,len,4,10.0.0.4,22:46:10:24:84:9d,28,1
23:19:50.085971,"ARP,",Ethernet,6,len,4,10.0.0.3,"10.0.0.1,",28,0
23:19:50.087067,"ARP,",Ethernet,6,len,4,10.0.0.3,02:9c:e4:c0:73:2d,28,1
23:19:50.265839,"ARP,",Ethernet,6,len,4,10.0.0.22,"10.0.0.1,",28,0
23:19:50.267795,"ARP,",Ethernet,6,len,4,10.0.0.22,4a:fa:04:15:71:54,28,1
23:19:50.440064,"ARP,",Ethernet,6,len,4,10.0.0.55,"10.0.0.1,",28,0
